commercant,sku,reference_interne_magasin,,,,name,Pain tranché?:drop_down:1,visibility,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,unite_prix,prix_public,status,on_selection,short_description,poids_portion,nbre_portion,poids_par_pers,weight,price,prix_kilo_site,description,suggestion_utilisation,conseil_commercant,tax_class_id,marge_arriere,cost,categories,_product_websites,store,websites,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
La Fille du Boulanger,FDB17-PAB-0004,,PAB,Pains Bios,,Pain aux Chataignes BIO,"Oui|Non
",4,,,,,,AB,pièce,,0,,,,,,0.000,0.00 €, €/pièce,Produit biologique.,,,5,#DIV/0!,,Boulanger/La Fille du Boulanger/Pains Bios;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Pain aux Chataignes BIO,Pain aux Chataignes BIO,Pain aux Chataignes BIO,,Pain aux Chataignes BIO,Produit biologique.,,,
La Fille du Boulanger,FDB17-PAB-0005,,PAB,Pains Bios,,Pain Intégral BIO,"Oui|Non
",4,,,,,,AB,pièce,2.90 €,Activé,,Le pain de 300g,0.300,1,,0.300,2.90 €,2.9 €/pièce,Produit biologique.,,,5,0.10,2.46 €,Boulanger/La Fille du Boulanger/Pains Bios;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Pain Intégral BIO,Pain Intégral BIO,Pain Intégral BIO,,Pain Intégral BIO,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAB-0006,,PAB,Pains Bios,,Pain aux Noix & Figues BIO,"Oui|Non
",4,,,,,,AB,pièce,3.00 €,Activé,1,Le pain de 300g,0.300,1,,0.300,3.00 €,3 €/pièce,Produit biologique.,,,5,0.10,2.56 €,Boulanger/La Fille du Boulanger/Pains Bios;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Pain aux Noix & Figues BIO,Pain aux Noix & Figues BIO,Pain aux Noix & Figues BIO,,Pain aux Noix & Figues BIO,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAB-0007,,PAB,Pains Bios,,Pain d'Epeautre BIO,"Oui|Non
",4,,,,,,AB,pièce,3.00 €,Activé,,Le pain de 300g,0.300,1,,0.300,3.00 €,3 €/pièce,Produit biologique.,,,5,0.10,2.56 €,Boulanger/La Fille du Boulanger/Pains Bios;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Pain d'Epeautre BIO,Pain d'Epeautre BIO,Pain d'Epeautre BIO,,Pain d'Epeautre BIO,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAB-0008,,PAB,Pains Bios,,Pain Céréales & Graines BIO,"Oui|Non
",4,,,,,,AB,pièce,3.00 €,Activé,,Le pain de 300g,0.300,1,,0.300,3.00 €,3 €/pièce,Produit biologique.,,,5,0.10,2.56 €,Boulanger/La Fille du Boulanger/Pains Bios;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Pain Céréales & Graines BIO,Pain Céréales & Graines BIO,Pain Céréales & Graines BIO,,Pain Céréales & Graines BIO,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAB-0009,,PAB,Pains Bios,,Pain Complet BIO,"Oui|Non
",4,,,,,,AB,pièce,2.90 €,Activé,,Le pain de 300g,0.300,1,,0.300,2.90 €,2.9 €/pièce,Produit biologique.,,,5,0.10,2.46 €,Boulanger/La Fille du Boulanger/Pains Bios;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Pain Complet BIO,Pain Complet BIO,Pain Complet BIO,,Pain Complet BIO,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAB-0010,,PAB,Pains Bios,,Pain aux Figues BIO,"Oui|Non
",4,,,,,,AB,pièce,3.00 €,Activé,,Le pain de 300g,0.300,1,,0.300,3.00 €,3 €/pièce,Produit biologique.,,,5,0.10,2.56 €,Boulanger/La Fille du Boulanger/Pains Bios;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Pain aux Figues BIO,Pain aux Figues BIO,Pain aux Figues BIO,,Pain aux Figues BIO,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAB-0011,,PAB,Pains Bios,,Pain aux raisins BIO,"Oui|Non
",4,,,,,,AB,pièce,3.00 €,Activé,,Le pain de 300g,0.300,1,,0.300,3.00 €,3 €/pièce,Produit biologique.,,,5,0.10,2.56 €,Boulanger/La Fille du Boulanger/Pains Bios;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Pain aux raisins BIO,Pain aux raisins BIO,Pain aux raisins BIO,,Pain aux raisins BIO,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAG-0001,,PAG,Pains sans Gluten,,Sans Blé BIO – Petit Epeautre,,4,,,,,,AB,pièce,5.20 €,Activé,1,Le pain de 350g,0.350,1,,0.350,5.20 €,5.2 €/pièce,Produit biologique.,,,5,0.10,4.45 €,Boulanger/La Fille du Boulanger/Pains sans Gluten;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Sans Blé BIO – Petit Epeautre,Sans Blé BIO – Petit Epeautre,Sans Blé BIO – Petit Epeautre,,Sans Blé BIO – Petit Epeautre,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAG-0002,,PAG,Pains sans Gluten,,Sans Blé BIO – Sarrasin Riz,,4,,,,,,AB,pièce,3.80 €,Activé,1,Le pain de 350g,0.350,1,,0.350,3.80 €,3.8 €/pièce,Produit biologique.,,,5,0.08,3.32 €,Boulanger/La Fille du Boulanger/Pains sans Gluten;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Sans Blé BIO – Sarrasin Riz,Sans Blé BIO – Sarrasin Riz,Sans Blé BIO – Sarrasin Riz,,Sans Blé BIO – Sarrasin Riz,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAG-0003,,PAG,Pains sans Gluten,,Sans Blé BIO – Quinoa,,4,,,,,,AB,pièce,5.20 €,Activé,,Le pain de 350g,0.350,1,,0.350,5.20 €,5.2 €/pièce,Produit biologique.,,,5,0.10,4.45 €,Boulanger/La Fille du Boulanger/Pains sans Gluten;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Sans Blé BIO – Quinoa,Sans Blé BIO – Quinoa,Sans Blé BIO – Quinoa,,Sans Blé BIO – Quinoa,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAG-0004,,PAG,Pains sans Gluten,,Sans Blé BIO – Quinoa/Chataigne,,4,,,,,,AB,pièce,5.20 €,Activé,,Le pain de 350g,0.350,1,,0.350,5.20 €,5.2 €/pièce,Produit biologique.,,,5,0.10,4.45 €,Boulanger/La Fille du Boulanger/Pains sans Gluten;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Sans Blé BIO – Quinoa/Chataigne,Sans Blé BIO – Quinoa/Chataigne,Sans Blé BIO – Quinoa/Chataigne,,Sans Blé BIO – Quinoa/Chataigne,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAG-0005,,PAG,Pains sans Gluten,,Sans Blé BIO – Pain de Mie Nature,,4,,,,,,AB,pièce,3.90 €,Activé,,Le pain de 350g,0.350,1,,0.350,3.90 €,3.9 €/pièce,Produit biologique.,,,5,0.10,3.32 €,Boulanger/La Fille du Boulanger/Pains sans Gluten;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Sans Blé BIO – Pain de Mie Nature,Sans Blé BIO – Pain de Mie Nature,Sans Blé BIO – Pain de Mie Nature,,Sans Blé BIO – Pain de Mie Nature,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAG-0006,,PAG,Pains sans Gluten,,Sans Blé BIO – Pain de Mie Rustique,,4,,,,,,AB,pièce,4.20 €,Activé,,Le pain de 350g,0.350,1,,0.350,4.20 €,4.2 €/pièce,Produit biologique.,,,5,0.10,3.60 €,Boulanger/La Fille du Boulanger/Pains sans Gluten;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,,,,Sans Blé BIO – Pain de Mie Rustique,Sans Blé BIO – Pain de Mie Rustique,Sans Blé BIO – Pain de Mie Rustique,,Sans Blé BIO – Pain de Mie Rustique,Produit biologique.,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-VIE-0001,,VIE,Viennoiserie,,Baguette Viennoise,,4,,,,,,,pièce,1.20 €,Activé,1,L'unité,,1,,0.000,1.20 €,1.2 €/pièce,,,,5,0.13,1.00 €,Boulanger/La Fille du Boulanger/Viennoiserie;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,baguetteviennoise.jpg,baguetteviennoise.jpg,baguetteviennoise.jpg,Baguette Viennoise,Baguette Viennoise,Baguette Viennoise,,Baguette Viennoise,,,,
La Fille du Boulanger,FDB17-VIE-0002,,VIE,Viennoiserie,,Demie Baguette Viennoise,,4,,,,,,,pièce,0.60 €,Activé,,L'unité,,1,,0.000,0.60 €,0.6 €/pièce,,,,5,0.17,0.47 €,Boulanger/La Fille du Boulanger/Viennoiserie;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,baguetteviennoise.jpg,baguetteviennoise.jpg,baguetteviennoise.jpg,Demie Baguette Viennoise,Demie Baguette Viennoise,Demie Baguette Viennoise,,Demie Baguette Viennoise,,,,
La Fille du Boulanger,FDB17-VIE-0003,,VIE,Viennoiserie,,Pain au Chocolat,,4,,,,,,,pièce,1.10 €,Activé,,L'unité,,1,,0.000,1.10 €,1.1 €/pièce,,,,5,0.09,0.95 €,Boulanger/La Fille du Boulanger/Viennoiserie;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,painchocolat.jpg,painchocolat.jpg,painchocolat.jpg,Pain au Chocolat,Pain au Chocolat,Pain au Chocolat,,Pain au Chocolat,,,,
La Fille du Boulanger,FDB17-VIE-0004,,VIE,Viennoiserie,,Croissant,,4,,,,,,,pièce,0.95 €,Activé,,L'unité,,1,,0.000,0.95 €,0.95 €/pièce,,,,5,0.16,0.76 €,Boulanger/La Fille du Boulanger/Viennoiserie;;Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,"admin,batignolles",apdc_batignolles,croissant.jpg,croissant.jpg,croissant.jpg,Croissant,Croissant,Croissant,,Croissant,,,,
