AwoDev_AwoRewards::Local key updated,Local key updated,,
AwoDev_AwoRewards::Make license permanent,Make license permanent,,
AwoDev_AwoRewards::Marketing Description,Marketing Description,,
AwoDev_AwoRewards::Marketing Headline,Marketing Headline,,
AwoDev_AwoRewards::Max emails per day,Max emails par jour,,
AwoDev_AwoRewards::Max emails per invite,Max emails par invitation,,
AwoDev_AwoRewards::Max invites per day reached,Maximum d'invitations par jour atteint,,
AwoDev_AwoRewards::Memo,Memo,,
AwoDev_AwoRewards::Message,Message,,
AwoDev_AwoRewards::Message posted,Message posté,,
AwoDev_AwoRewards::Minimum Order Total,Minimum de commande,,
AwoDev_AwoRewards::Minimum Order Total Type,Type de minimum de commande,,
AwoDev_AwoRewards::Minimum Payout Amount,Montant du minimum du payout,,
AwoDev_AwoRewards::Minimum payout amount not reached,Minimum du payout non atteint,,
AwoDev_AwoRewards::My Credits,Mes codes promotions Parrain,,
AwoDev_AwoRewards::My Payments,Historique d'utilisation des codes,,
AwoDev_AwoRewards::My Referrals,Mes invitations,,
AwoDev_AwoRewards::Name,Nom,,
AwoDev_AwoRewards::Narrow,Narrow,,
AwoDev_AwoRewards::New Credit,Nouveau crédit,,
AwoDev_AwoRewards::New Invitation,Nouvelle invitation,,
AwoDev_AwoRewards::New Referral,Nouveau referral,,
AwoDev_AwoRewards::New Rule,Nouvelle règle,,
AwoDev_AwoRewards::Newer Version,Newer Version,,
AwoDev_AwoRewards::Note,Note,,
AwoDev_AwoRewards::Notes,Notes,,
AwoDev_AwoRewards::Number of days to set cookie for Referral urls,Number of days to set cookie for Referral urls,,
AwoDev_AwoRewards::Old Version currently installed,Old Version currently installed,,
AwoDev_AwoRewards::Order,Commande,,
AwoDev_AwoRewards::Order Number,Numéro de commande,,
AwoDev_AwoRewards::Order Number to trigger rule,Order Number to trigger rule,,
AwoDev_AwoRewards::Order required to send invitation,Order required to send invitation,,
AwoDev_AwoRewards::Order Total,Total commandé,,
AwoDev_AwoRewards::Ordering,Ordering,,
AwoDev_AwoRewards::Paid,Votre paiement,,
AwoDev_AwoRewards::Password,Mot de passe,,
AwoDev_AwoRewards::Payment,Paiement,,
AwoDev_AwoRewards::Payment Date,Date du paiement,,
AwoDev_AwoRewards::Payment Details,Détails du paiement,,
AwoDev_AwoRewards::Payment History,Historique de paiement,,
AwoDev_AwoRewards::Payment not allowed,Paiement non autorisé,,
AwoDev_AwoRewards::Payment successfully made,Paiement réalisé,,
AwoDev_AwoRewards::Payment Type,Type de paiement,,
AwoDev_AwoRewards::Payments,Paiements,,
AwoDev_AwoRewards::Paypal,Paypal,,
AwoDev_AwoRewards::Paypal Email,Paypal Email,,
AwoDev_AwoRewards::Paypal Payout Request,Paypal Payout Request,,
AwoDev_AwoRewards::Per Order,Per Order,,
AwoDev_AwoRewards::Percent of Order Total,Percent of Order Total,,
AwoDev_AwoRewards::Permanent license,Permanent license,,
AwoDev_AwoRewards::Personal Message,Votre message,,
AwoDev_AwoRewards::Please activate license,Please activate license,,
AwoDev_AwoRewards::Please delete payment attached to credit id %d,Please delete payment attached to credit id %d,,
AwoDev_AwoRewards::Please enter a number 0 or greater in this field.,Merci d'entrer un nombre égal ou supérieur à 0 dans ce champ,,
AwoDev_AwoRewards::Please enter a valid date.,Merci d'entrer une date valide,,
AwoDev_AwoRewards::please enter a valid value,Merci d'entrer une valeur valide,,
AwoDev_AwoRewards::Please enter string.,Merci d'entrer une chaine de caractère,,
AwoDev_AwoRewards::Please log in,Merci de vous identifier,,
AwoDev_AwoRewards::Please place an order to have access to Refer a Friend,Merci de commander au moins une fois pour pouvoir parrainer un ami,,
AwoDev_AwoRewards::Please select item(s),Please select item(s),,
AwoDev_AwoRewards::Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.,Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.,,
AwoDev_AwoRewards::Points,Points,,
AwoDev_AwoRewards::Points Email Subject,Points Email Subject,,
AwoDev_AwoRewards::Points Email Template,Points Email Template,,
AwoDev_AwoRewards::Points Notification Email,Points Notification Email,,
AwoDev_AwoRewards::Points to Amount Ratio,Points to Amount Ratio,,
AwoDev_AwoRewards::Post to Facebook Wall,Postez votre lien unique sur votre mur,,
AwoDev_AwoRewards::Predefined Text,Predefined Text,,
AwoDev_AwoRewards::Product Review,Product Review,,
AwoDev_AwoRewards::Production,Production,,
AwoDev_AwoRewards::Promotion,Promotion,,
AwoDev_AwoRewards::Promotions,Promotions,,
AwoDev_AwoRewards::Published,Publié,,
AwoDev_AwoRewards::Receiver Transaction ID,Receiver Transaction ID,,
AwoDev_AwoRewards::Referral,Referral,,
AwoDev_AwoRewards::Referral Information,Referral Information,,
AwoDev_AwoRewards::Referrals,Referrals,,
AwoDev_AwoRewards::Registered,Registered,,
